PO Number,PO Date,PO Year,PO Quarter,PO Month,PO Type,PO Status,Supplier ID,Supplier Name,Supplier Country,Supplier Region,Supplier Tier,Supplier Status,Supplier Risk,Supplier Latitude,Supplier Longitude,Payment Terms,Item Code,Item Description,Category,Sub Category,Unit of Measure,Quantity,Discount Amount,Tax Pct,Tax Amount,Currency,Savings Pct,Requested Delivery,Actual Delivery,Days Late,On Time Delivery,Lead Time Days,Department,Cost Centre,Requestor Name,Approver Name,Contract ID,Contract Type,Contract Start,Contract End,Invoice Status,Payment Status,Invoice Match Type,Maverick Spend,Single Source Flag,Preferred Supplier,Local International,Supplier ESG Score
PO-01411,28/06/2022,2022,Q2,June,Standard,Closed,SUP-004,FastTrack Logistics,United States,Americas,1,Preferred,Low,37.0902,-95.7129,Net 30,ITEM-34514,Packaging Material,Logistics,Packaging Material,Box,96,0.0,5,427.1,GBP,12.4,24/07/2022,19/08/2022,26,No,52,Finance,CC-001,Karen Clark,Tom Reynolds,CON-4042,Long-term,14/06/2022,23/12/2024,Paid,Paid,3-Way Match,No,No,Yes,International,52.3
PO-01412,24/06/2022,2022,Q2,June,Emergency,Closed,SUP-015,Iron Gate Steel,Poland,Europe,3,Conditional,Medium,51.9194,19.1451,Net 60,ITEM-31531,Spare Parts Kit,Maintenance,Spare Parts Kit,EA,154,0.0,20,35066.11,GBP,10.1,12/07/2022,11/07/2022,-1,Yes,17,R&D,CC-008,Henry Martin,James O'Brien,NO-CONTRACT,Spot,24/06/2022,24/07/2022,Pending,On Hold,2-Way Match,Yes,Yes,No,International,75.7
PO-01413,01/03/2023,2023,Q1,March,Contract,Closed,SUP-004,FastTrack Logistics,United States,Americas,1,Preferred,Low,37.0902,-95.7129,Net 30,ITEM-32712,Branded Merchandise,Marketing,Branded Merchandise,Box,115,0.0,20,17505.3,AUD,12.0,06/04/2023,09/04/2023,3,No,39,Finance,CC-001,Karen Clark,James O'Brien,CON-6953,Framework,14/02/2023,28/11/2025,Paid,Paid,3-Way Match,No,No,Yes,International,52.3
PO-01414,10/09/2023,2023,Q3,September,Standard,Closed,SUP-012,Cornerstone Services,United Kingdom,Europe,2,Approved,Low,55.3781,-3.436,Net 30,ITEM-41311,Rubber Seal,Raw Materials,Rubber Seal,EA,3,0.0,20,14.63,GBP,17.6,28/09/2023,28/10/2023,30,No,48,Finance,CC-001,Karen Clark,Priya Sharma,CON-1118,Spot,29/04/2023,22/07/2025,Paid,Paid,3-Way Match,No,Yes,No,Local,67.8
PO-01415,14/07/2024,2024,Q3,July,Standard,Closed,SUP-014,Blue Horizon Packaging,Australia,Oceania,2,Approved,Low,-25.2744,133.7751,Net 30,ITEM-37716,Tool Set,Maintenance,Tool Set,EA,100,2062.9,5,1959.76,AUD,11.8,15/08/2024,13/08/2024,-2,Yes,30,IT,CC-002,Leo Walker,Lisa Chen,CON-5374,Spot,29/02/2024,23/02/2027,Pending,Pending,2-Way Match,No,No,No,International,50.9
PO-01416,18/03/2023,2023,Q1,March,Standard,Open,SUP-003,GlobalParts Ltd,China,Asia,2,Approved,Medium,35.8617,104.1954,Net 60,ITEM-43740,Keyboard,IT Hardware,Keyboard,EA,96,0.0,20,1105.54,GBP,17.3,01/05/2023,30/04/2023,-1,Yes,43,IT,CC-002,Leo Walker,Priya Sharma,NO-CONTRACT,Spot,18/03/2023,17/04/2023,Overdue,Pending,2-Way Match,No,No,No,International,55.1
PO-01417,03/04/2024,2024,Q2,April,Standard,Closed,SUP-004,FastTrack Logistics,United States,Americas,1,Preferred,Low,37.0902,-95.7129,Net 30,ITEM-36437,Server Rack,IT Hardware,Server Rack,EA,43,44731.57,5,20129.21,GBP,26.0,24/04/2024,19/04/2024,-5,Yes,16,Sales,CC-010,Jack Harris,Lisa Chen,NO-CONTRACT,Spot,03/04/2024,03/05/2024,Overdue,Overdue,2-Way Match,No,No,Yes,International,52.3
PO-01418,03/03/2023,2023,Q1,March,Contract,Open,SUP-001,Apex Industrial Supplies,United Kingdom,Europe,1,Preferred,Low,55.3781,-3.436,Net 30,ITEM-76816,Antivirus License,IT Software,Antivirus License,EA,161,0.0,0,0.0,AUD,4.0,28/03/2023,23/03/2023,-5,Yes,20,Marketing,CC-004,David Lee,Sarah Mitchell,CON-9711,Master Supply,10/03/2022,15/10/2022,Pending,Pending,2-Way Match,No,No,Yes,Local,75.2
PO-01419,24/04/2022,2022,Q2,April,Standard,Open,SUP-014,Blue Horizon Packaging,Australia,Oceania,2,Approved,Low,-25.2744,133.7751,Net 30,ITEM-76104,ERP License,IT Software,ERP License,EA,15,45746.55,5,20585.95,GBP,17.3,27/05/2022,23/05/2022,-4,Yes,29,R&D,CC-008,Henry Martin,James O'Brien,CON-4351,Master Supply,07/12/2021,02/10/2024,Pending,On Hold,No Match,No,No,No,International,50.9
PO-01420,23/06/2022,2022,Q2,June,Standard,Closed,SUP-008,Meridian Tech,India,Asia,3,Conditional,Medium,20.5937,78.9629,Net 60,ITEM-64270,Pens & Stationery,Office Supplies,Pens & Stationery,Box,36,0.0,5,59.29,EUR,-3.8,22/08/2022,17/08/2022,-5,Yes,55,Marketing,CC-004,Nathan Young,Priya Sharma,CON-8651,Long-term,26/09/2021,04/06/2024,Pending,Paid,3-Way Match,No,Yes,No,International,44.8
PO-01421,17/11/2024,2024,Q4,November,Standard,Closed,SUP-007,Nordic Office Solutions,Sweden,Europe,2,Approved,Low,60.1282,18.6435,Net 30,ITEM-95695,Employee Uniforms,HR & Training,Employee Uniforms,EA,68,0.0,5,360.57,EUR,9.8,13/12/2024,09/01/2025,27,No,53,HR,CC-005,Emma Wilson,Lisa Chen,CON-2886,Spot,02/11/2024,05/10/2026,Pending,Paid,3-Way Match,No,No,No,International,89.1
PO-01422,12/11/2023,2023,Q4,November,Standard,Closed,SUP-015,Iron Gate Steel,Poland,Europe,3,Conditional,Medium,51.9194,19.1451,Net 60,ITEM-30629,Translation Svcs,Professional Svcs,Translation Svcs,EA,89,3342.84,20,12702.79,USD,19.5,30/11/2023,27/11/2023,-3,Yes,15,Facilities,CC-009,Isla White,Sarah Mitchell,CON-9319,Master Supply,08/12/2022,09/11/2023,Pending,Paid,3-Way Match,Yes,No,No,International,75.7
PO-01423,06/10/2024,2024,Q4,October,Standard,Open,SUP-010,SunRise Manufacturing,South Korea,Asia,1,Preferred,Low,35.9078,127.7669,Net 30,ITEM-61412,Filing Cabinet,Office Supplies,Filing Cabinet,EA,182,0.0,0,0.0,GBP,-2.4,29/10/2024,17/11/2024,19,No,42,Marketing,CC-004,David Lee,James O'Brien,CON-1631,Framework,28/01/2024,27/09/2024,Pending,Overdue,2-Way Match,No,No,Yes,International,41.6
PO-01424,28/09/2023,2023,Q3,September,Standard,Closed,SUP-012,Cornerstone Services,United Kingdom,Europe,2,Approved,Low,55.3781,-3.436,Net 30,ITEM-62311,Training Course,Professional Svcs,Training Course,EA,185,25353.97,0,0.0,GBP,15.2,15/11/2023,26/11/2023,11,No,59,Finance,CC-001,Karen Clark,James O'Brien,NO-CONTRACT,Spot,28/09/2023,28/10/2023,Pending,Paid,3-Way Match,No,Yes,No,Local,67.8
PO-01426,20/11/2023,2023,Q4,November,Standard,Open,SUP-013,Quantum Electronics,Taiwan,Asia,2,Approved,Medium,23.6978,120.9605,Net 45,ITEM-66957,Plastic Resin (kg),Raw Materials,Plastic Resin (kg),KG,87,21.05,5,9.47,USD,26.9,02/12/2023,20/12/2023,18,No,30,Finance,CC-001,Karen Clark,Tom Reynolds,NO-CONTRACT,Spot,20/11/2023,20/12/2023,Overdue,Overdue,No Match,No,No,No,International,41.5
PO-01428,24/07/2024,2024,Q3,July,Standard,Closed,SUP-004,FastTrack Logistics,United States,Americas,1,Preferred,Low,37.0902,-95.7129,Net 30,ITEM-30629,Translation Svcs,Professional Svcs,Translation Svcs,EA,12,221.16,20,840.41,GBP,19.3,02/08/2024,02/08/2024,0,Yes,9,Facilities,CC-009,Isla White,Lisa Chen,CON-9481,Spot,29/08/2023,20/01/2026,Paid,Paid,3-Way Match,No,No,Yes,International,52.3
PO-01429,10/06/2022,2022,Q2,June,Standard,Closed,SUP-006,Pacific Rim Supplies,Japan,Asia,1,Preferred,Low,36.2048,138.2529,Net 30,ITEM-15118,Safety Equipment,Facilities,Safety Equipment,Box,104,0.0,0,0.0,GBP,13.8,28/07/2022,05/08/2022,8,No,56,Sales,CC-010,Jack Harris,James O'Brien,NO-CONTRACT,Spot,10/06/2022,10/07/2022,Paid,Paid,3-Way Match,No,No,Yes,International,77.2
PO-01430,05/07/2024,2024,Q3,July,Standard,Closed,SUP-011,Atlantic Raw Materials,Brazil,Americas,3,Conditional,High,-14.235,-51.9253,Net 60,ITEM-57013,Cloud Storage (TB),IT Software,Cloud Storage (TB),TB,55,0.0,5,503.44,GBP,19.3,16/07/2024,14/07/2024,-2,Yes,9,Legal,CC-007,Grace Taylor,Tom Reynolds,CON-5472,Master Supply,01/07/2024,07/07/2026,Paid,Paid,3-Way Match,No,No,No,International,52.0
PO-01431,22/08/2023,2023,Q3,August,Standard,Open,SUP-003,GlobalParts Ltd,China,Asia,2,Approved,Medium,35.8617,104.1954,Net 60,ITEM-61428,Audit Service,Professional Svcs,Audit Service,EA,8,0.0,20,8916.13,USD,12.9,14/10/2023,10/10/2023,-4,Yes,49,Marketing,CC-004,Nathan Young,James O'Brien,CON-8247,Spot,30/11/2022,01/09/2023,Pending,Pending,2-Way Match,No,No,No,International,55.1
PO-01432,12/12/2022,2022,Q4,December,Standard,Closed,SUP-009,Delta Engineering,Netherlands,Europe,2,Approved,Medium,52.1326,5.2913,Net 45,ITEM-64827,Print Material,Marketing,Print Material,Box,66,0.0,20,2935.42,USD,6.5,25/01/2023,25/01/2023,0,Yes,44,Operations,CC-003,Maya Hall,Priya Sharma,NO-CONTRACT,Spot,12/12/2022,11/01/2023,Paid,Paid,3-Way Match,No,No,No,International,63.2
PO-01433,09/11/2022,2022,Q4,November,Emergency,Open,SUP-013,Quantum Electronics,Taiwan,Asia,2,Approved,Medium,23.6978,120.9605,Net 45,ITEM-70803,Recruitment Agency,HR & Training,Recruitment Agency,EA,145,63619.62,5,60438.64,EUR,20.6,08/12/2022,30/12/2022,22,No,51,Facilities,CC-009,Isla White,Sarah Mitchell,CON-2994,Master Supply,30/08/2022,08/10/2024,Pending,Pending,2-Way Match,No,No,No,International,41.5
PO-01434,07/10/2022,2022,Q4,October,Standard,Closed,SUP-009,Delta Engineering,Netherlands,Europe,2,Approved,Medium,52.1326,5.2913,Net 45,ITEM-53575,Digital Ads,Marketing,Digital Ads,Campaign,14,0.0,0,0.0,EUR,6.8,30/11/2022,02/12/2022,2,No,56,Finance,CC-001,Karen Clark,Sarah Mitchell,NO-CONTRACT,Spot,07/10/2022,06/11/2022,Overdue,Pending,No Match,No,No,No,International,63.2
PO-01435,12/10/2024,2024,Q4,October,Standard,Closed,SUP-001,Apex Industrial Supplies,United Kingdom,Europe,1,Preferred,Low,55.3781,-3.436,Net 30,ITEM-66957,Plastic Resin (kg),Raw Materials,Plastic Resin (kg),KG,99,0.0,5,11.43,GBP,15.1,11/11/2024,08/12/2024,27,No,57,Operations,CC-003,Maya Hall,Priya Sharma,CON-8542,Long-term,30/12/2023,21/05/2026,Overdue,Paid,3-Way Match,No,No,Yes,Local,75.2
PO-01436,21/03/2024,2024,Q1,March,Emergency,Closed,SUP-008,Meridian Tech,India,Asia,3,Conditional,Medium,20.5937,78.9629,Net 60,ITEM-61428,Audit Service,Professional Svcs,Audit Service,EA,155,0.0,5,79894.13,GBP,18.7,28/03/2024,25/03/2024,-3,Yes,4,Legal,CC-007,Grace Taylor,Priya Sharma,NO-CONTRACT,Spot,21/03/2024,20/04/2024,Paid,Paid,2-Way Match,No,Yes,No,International,44.8
PO-01438,16/01/2023,2023,Q1,January,Blanket,Closed,SUP-012,Cornerstone Services,United Kingdom,Europe,2,Approved,Low,55.3781,-3.436,Net 30,ITEM-78252,Catering (event),HR & Training,Catering (event),EA,122,32574.98,5,14658.74,GBP,23.9,16/03/2023,14/03/2023,-2,Yes,57,IT,CC-002,Leo Walker,Sarah Mitchell,CON-3111,Master Supply,04/10/2022,14/10/2024,Paid,On Hold,3-Way Match,No,No,No,Local,67.8
PO-01439,08/06/2022,2022,Q2,June,Blanket,Closed,SUP-008,Meridian Tech,India,Asia,3,Conditional,Medium,20.5937,78.9629,Net 60,ITEM-13249,Laptop,IT Hardware,Laptop,EA,33,0.0,20,9359.92,GBP,7.5,05/08/2022,30/08/2022,25,No,83,HR,CC-005,Emma Wilson,Lisa Chen,CON-7658,Spot,27/07/2021,27/09/2023,Overdue,Paid,3-Way Match,Yes,No,No,International,44.8
PO-01440,15/07/2022,2022,Q3,July,Contract,Closed,SUP-013,Quantum Electronics,Taiwan,Asia,2,Approved,Medium,23.6978,120.9605,Net 45,ITEM-66613,Aluminium Bar (kg),Raw Materials,Aluminium Bar (kg),KG,129,37.73,0,0.0,USD,13.0,29/08/2022,14/09/2022,16,No,61,IT,CC-002,Leo Walker,Priya Sharma,NO-CONTRACT,Spot,15/07/2022,14/08/2022,Paid,Pending,2-Way Match,No,No,No,International,41.5
PO-01441,14/10/2022,2022,Q4,October,Standard,Closed,SUP-009,Delta Engineering,Netherlands,Europe,2,Approved,Medium,52.1326,5.2913,Net 45,ITEM-19122,Medical Supplies,HR & Training,Medical Supplies,Box,52,223.6,0,0.0,GBP,-8.7,11/12/2022,07/12/2022,-4,Yes,54,IT,CC-002,Bob Smith,Lisa Chen,NO-CONTRACT,Spot,14/10/2022,13/11/2022,Pending,Paid,3-Way Match,No,No,No,International,63.2
PO-01443,16/01/2022,2022,Q1,January,Blanket,Open,SUP-006,Pacific Rim Supplies,Japan,Asia,1,Preferred,Low,36.2048,138.2529,Net 30,ITEM-30629,Translation Svcs,Professional Svcs,Translation Svcs,EA,110,0.0,5,2426.6,GBP,11.2,25/01/2022,28/01/2022,3,No,12,IT,CC-002,Bob Smith,James O'Brien,CON-4319,Master Supply,15/09/2021,22/03/2023,Pending,Pending,2-Way Match,No,No,Yes,International,77.2
PO-01444,04/02/2022,2022,Q1,February,Emergency,Closed,SUP-006,Pacific Rim Supplies,Japan,Asia,1,Preferred,Low,36.2048,138.2529,Net 30,ITEM-41311,Rubber Seal,Raw Materials,Rubber Seal,EA,150,0.0,0,0.0,GBP,18.0,11/03/2022,06/03/2022,-5,Yes,30,HR,CC-005,Emma Wilson,Tom Reynolds,NO-CONTRACT,Spot,04/02/2022,06/03/2022,Paid,Paid,3-Way Match,No,No,Yes,International,77.2
PO-01445,27/06/2023,2023,Q2,June,Standard,Open,SUP-009,Delta Engineering,Netherlands,Europe,2,Approved,Medium,52.1326,5.2913,Net 45,ITEM-67907,Warehousing (m²),Logistics,Warehousing (m²),SQM,147,0.0,20,473.05,GBP,-14.9,20/08/2023,20/08/2023,0,Yes,54,IT,CC-002,Leo Walker,Priya Sharma,CON-1537,Spot,08/05/2023,25/12/2023,Pending,Pending,No Match,No,No,No,International,63.2
PO-01446,03/05/2024,2024,Q2,May,Standard,Open,SUP-004,FastTrack Logistics,United States,Americas,1,Preferred,Low,37.0902,-95.7129,Net 30,ITEM-65578,Monitor,IT Hardware,Monitor,EA,198,0.0,5,3632.31,EUR,-18.8,11/05/2024,30/05/2024,19,No,27,HR,CC-005,Olivia King,Priya Sharma,NO-CONTRACT,Spot,03/05/2024,02/06/2024,Pending,Pending,2-Way Match,No,No,Yes,International,52.3
PO-01447,28/10/2022,2022,Q4,October,Standard,Open,SUP-008,Meridian Tech,India,Asia,3,Conditional,Medium,20.5937,78.9629,Net 60,ITEM-33454,Network Switch,IT Hardware,Network Switch,EA,16,0.0,0,0.0,EUR,-18.6,11/12/2022,29/12/2022,18,No,62,Marketing,CC-004,Nathan Young,Tom Reynolds,CON-8711,Framework,13/03/2022,27/06/2024,Pending,Pending,No Match,No,No,No,International,44.8
PO-01448,17/03/2022,2022,Q1,March,Standard,Closed,SUP-002,TechPro Components,Germany,Europe,1,Preferred,Low,51.1657,10.4515,Net 45,ITEM-53575,Digital Ads,Marketing,Digital Ads,Campaign,199,0.0,0,0.0,GBP,16.4,25/03/2022,06/04/2022,12,No,20,HR,CC-005,Olivia King,Lisa Chen,NO-CONTRACT,Spot,17/03/2022,16/04/2022,Pending,Paid,3-Way Match,No,No,Yes,International,41.4
PO-01449,10/03/2023,2023,Q1,March,Contract,Closed,SUP-007,Nordic Office Solutions,Sweden,Europe,2,Approved,Low,60.1282,18.6435,Net 30,ITEM-54692,Copper Wire (m),Raw Materials,Copper Wire (m),MTR,155,0.0,5,4.42,GBP,16.2,06/04/2023,29/04/2023,23,No,50,HR,CC-005,Emma Wilson,Priya Sharma,CON-6473,Master Supply,03/09/2022,22/06/2024,Paid,On Hold,3-Way Match,No,No,No,International,89.1
PO-01450,19/06/2023,2023,Q2,June,Standard,Closed,SUP-014,Blue Horizon Packaging,Australia,Oceania,2,Approved,Low,-25.2744,133.7751,Net 30,ITEM-43740,Keyboard,IT Hardware,Keyboard,EA,166,0.0,0,0.0,EUR,14.5,22/07/2023,10/08/2023,19,No,52,Operations,CC-003,Clara Davies,James O'Brien,NO-CONTRACT,Spot,19/06/2023,19/07/2023,Disputed,Pending,2-Way Match,No,No,No,International,50.9
PO-01452,19/02/2022,2022,Q1,February,Standard,Closed,SUP-014,Blue Horizon Packaging,Australia,Oceania,2,Approved,Low,-25.2744,133.7751,Net 30,ITEM-21296,Calibration Svc,Maintenance,Calibration Svc,EA,126,3603.28,0,0.0,EUR,8.6,25/03/2022,21/03/2022,-4,Yes,30,Operations,CC-003,Clara Davies,Sarah Mitchell,NO-CONTRACT,Spot,19/02/2022,21/03/2022,Pending,Overdue,3-Way Match,No,No,No,International,50.9
PO-01455,14/11/2023,2023,Q4,November,Emergency,Open,SUP-005,EuroBuild Materials,France,Europe,2,Approved,Low,46.2276,2.2137,Net 45,ITEM-20168,Fire Extinguisher,Facilities,Fire Extinguisher,EA,99,0.0,20,1746.76,GBP,11.3,11/12/2023,07/12/2023,-4,Yes,23,IT,CC-002,Bob Smith,Lisa Chen,NO-CONTRACT,Spot,14/11/2023,14/12/2023,Overdue,Pending,No Match,No,No,No,International,80.5
PO-01456,02/10/2024,2024,Q4,October,Standard,Closed,SUP-002,TechPro Components,Germany,Europe,1,Preferred,Low,51.1657,10.4515,Net 45,ITEM-19122,Medical Supplies,HR & Training,Medical Supplies,Box,148,0.0,5,1435.23,GBP,7.0,16/11/2024,24/11/2024,8,No,53,R&D,CC-008,Henry Martin,Lisa Chen,NO-CONTRACT,Spot,02/10/2024,01/11/2024,Paid,Paid,2-Way Match,No,No,Yes,International,41.4
PO-01457,04/09/2024,2024,Q3,September,Standard,Closed,SUP-004,FastTrack Logistics,United States,Americas,1,Preferred,Low,37.0902,-95.7129,Net 30,ITEM-67907,Warehousing (m²),Logistics,Warehousing (m²),SQM,177,0.0,0,0.0,GBP,13.6,14/10/2024,12/10/2024,-2,Yes,38,IT,CC-002,Bob Smith,Sarah Mitchell,NO-CONTRACT,Spot,04/09/2024,04/10/2024,Pending,Pending,2-Way Match,No,No,Yes,International,52.3
PO-01458,08/09/2022,2022,Q3,September,Standard,Open,SUP-010,SunRise Manufacturing,South Korea,Asia,1,Preferred,Low,35.9078,127.7669,Net 30,ITEM-64270,Pens & Stationery,Office Supplies,Pens & Stationery,Box,57,0.0,20,160.97,GBP,11.2,13/09/2022,02/10/2022,19,No,24,Finance,CC-001,Karen Clark,James O'Brien,CON-1908,Spot,26/03/2022,28/01/2024,Pending,On Hold,No Match,No,No,Yes,International,41.6
PO-01459,08/09/2023,2023,Q3,September,Standard,Open,SUP-015,Iron Gate Steel,Poland,Europe,3,Conditional,Medium,51.9194,19.1451,Net 60,ITEM-61412,Filing Cabinet,Office Supplies,Filing Cabinet,EA,165,0.0,5,956.92,JPY,-13.8,17/09/2023,12/09/2023,-5,Yes,4,Procurement,CC-006,Frank Brown,Sarah Mitchell,CON-3305,Long-term,20/06/2023,06/02/2024,Overdue,Overdue,No Match,No,No,No,International,75.7
PO-01460,12/07/2024,2024,Q3,July,Emergency,Closed,SUP-007,Nordic Office Solutions,Sweden,Europe,2,Approved,Low,60.1282,18.6435,Net 30,ITEM-71890,Whiteboard,Office Supplies,Whiteboard,EA,52,0.0,5,316.11,JPY,12.5,05/09/2024,06/09/2024,1,No,56,Facilities,CC-009,Isla White,Priya Sharma,NO-CONTRACT,Spot,12/07/2024,11/08/2024,Pending,Paid,3-Way Match,No,No,No,International,89.1
PO-01462,01/05/2024,2024,Q2,May,Emergency,Closed,SUP-010,SunRise Manufacturing,South Korea,Asia,1,Preferred,Low,35.9078,127.7669,Net 30,ITEM-76816,Antivirus License,IT Software,Antivirus License,EA,196,952.17,20,3618.24,GBP,17.7,26/05/2024,22/05/2024,-4,Yes,21,Facilities,CC-009,Isla White,Sarah Mitchell,NO-CONTRACT,Spot,01/05/2024,31/05/2024,Paid,Overdue,3-Way Match,No,No,Yes,International,41.6
PO-01463,19/04/2022,2022,Q2,April,Emergency,Open,SUP-014,Blue Horizon Packaging,Australia,Oceania,2,Approved,Low,-25.2744,133.7751,Net 30,ITEM-61428,Audit Service,Professional Svcs,Audit Service,EA,176,0.0,0,0.0,AUD,8.2,14/05/2022,28/05/2022,14,No,39,Finance,CC-001,Alice Johnson,Tom Reynolds,CON-4776,Spot,21/04/2021,01/07/2022,Overdue,Overdue,2-Way Match,No,No,No,International,50.9
PO-01464,06/08/2023,2023,Q3,August,Standard,Open,SUP-014,Blue Horizon Packaging,Australia,Oceania,2,Approved,Low,-25.2744,133.7751,Net 30,ITEM-18028,BI Tool License,IT Software,BI Tool License,EA,76,0.0,5,4238.14,GBP,9.8,01/10/2023,30/09/2023,-1,Yes,55,HR,CC-005,Olivia King,Priya Sharma,CON-1812,Framework,05/01/2023,24/08/2023,Overdue,Pending,No Match,No,No,No,International,50.9
PO-01465,23/06/2024,2024,Q2,June,Standard,Closed,SUP-013,Quantum Electronics,Taiwan,Asia,2,Approved,Medium,23.6978,120.9605,Net 45,ITEM-51688,Freight - Road,Logistics,Freight - Road,Shipment,87,0.0,5,3932.97,EUR,14.2,14/08/2024,15/08/2024,1,No,53,Operations,CC-003,Clara Davies,Priya Sharma,CON-8988,Spot,02/12/2023,06/08/2024,Paid,Pending,2-Way Match,No,No,No,International,41.5
PO-01466,25/06/2022,2022,Q2,June,Standard,Closed,SUP-015,Iron Gate Steel,Poland,Europe,3,Conditional,Medium,51.9194,19.1451,Net 60,ITEM-67907,Warehousing (m²),Logistics,Warehousing (m²),SQM,56,0.0,5,19.12,EUR,9.9,30/06/2022,26/06/2022,-4,Yes,1,Sales,CC-010,Jack Harris,Sarah Mitchell,NO-CONTRACT,Spot,25/06/2022,25/07/2022,Pending,Paid,3-Way Match,No,No,No,International,75.7
PO-01467,04/02/2024,2024,Q1,February,Blanket,Closed,SUP-009,Delta Engineering,Netherlands,Europe,2,Approved,Medium,52.1326,5.2913,Net 45,ITEM-71890,Whiteboard,Office Supplies,Whiteboard,EA,85,0.0,5,315.73,GBP,13.5,01/04/2024,31/03/2024,-1,Yes,56,Finance,CC-001,Karen Clark,Sarah Mitchell,CON-3621,Spot,23/05/2023,13/03/2024,Paid,Pending,3-Way Match,No,No,No,International,63.2
PO-01468,12/01/2024,2024,Q1,January,Emergency,Closed,SUP-007,Nordic Office Solutions,Sweden,Europe,2,Approved,Low,60.1282,18.6435,Net 30,ITEM-78252,Catering (event),HR & Training,Catering (event),EA,31,0.0,0,0.0,GBP,10.3,24/01/2024,20/02/2024,27,No,39,IT,CC-002,Bob Smith,James O'Brien,NO-CONTRACT,Spot,12/01/2024,11/02/2024,Paid,On Hold,2-Way Match,No,No,No,International,89.1
PO-01469,11/06/2024,2024,Q2,June,Emergency,Disputed,SUP-009,Delta Engineering,Netherlands,Europe,2,Approved,Medium,52.1326,5.2913,Net 45,ITEM-24456,Equipment Repair,Maintenance,Equipment Repair,EA,94,0.0,20,25487.35,EUR,3.6,15/07/2024,11/07/2024,-4,Yes,30,Marketing,CC-004,David Lee,James O'Brien,CON-6356,Framework,11/11/2023,24/03/2025,Disputed,Overdue,No Match,No,No,No,International,63.2
PO-01470,27/01/2023,2023,Q1,January,Blanket,Closed,SUP-012,Cornerstone Services,United Kingdom,Europe,2,Approved,Low,55.3781,-3.436,Net 30,ITEM-57013,Cloud Storage (TB),IT Software,Cloud Storage (TB),TB,25,0.0,0,0.0,JPY,12.2,14/02/2023,09/02/2023,-5,Yes,13,HR,CC-005,Olivia King,Lisa Chen,CON-4863,Spot,26/10/2022,31/10/2024,Pending,Paid,2-Way Match,No,No,No,Local,67.8
PO-01471,31/05/2023,2023,Q2,May,Standard,Closed,SUP-007,Nordic Office Solutions,Sweden,Europe,2,Approved,Low,60.1282,18.6435,Net 30,ITEM-64827,Print Material,Marketing,Print Material,Box,200,0.0,0,0.0,JPY,8.4,23/07/2023,20/07/2023,-3,Yes,50,Legal,CC-007,Grace Taylor,James O'Brien,CON-8343,Long-term,15/11/2022,13/06/2023,Paid,On Hold,No Match,No,No,No,International,89.1
PO-01472,07/10/2024,2024,Q4,October,Emergency,Closed,SUP-015,Iron Gate Steel,Poland,Europe,3,Conditional,Medium,51.9194,19.1451,Net 60,ITEM-62311,Training Course,Professional Svcs,Training Course,EA,78,0.0,20,43288.28,JPY,15.3,12/11/2024,10/11/2024,-2,Yes,34,Finance,CC-001,Alice Johnson,James O'Brien,CON-3924,Spot,21/10/2023,10/06/2024,Overdue,Pending,3-Way Match,Yes,No,No,International,75.7
PO-01473,06/10/2024,2024,Q4,October,Contract,Open,SUP-003,GlobalParts Ltd,China,Asia,2,Approved,Medium,35.8617,104.1954,Net 60,ITEM-54692,Copper Wire (m),Raw Materials,Copper Wire (m),MTR,36,0.0,0,0.0,GBP,10.7,15/10/2024,08/11/2024,24,No,33,Facilities,CC-009,Isla White,Lisa Chen,CON-3914,Long-term,27/02/2024,04/10/2026,Overdue,On Hold,2-Way Match,No,No,No,International,55.1
PO-01474,15/01/2023,2023,Q1,January,Standard,Open,SUP-011,Atlantic Raw Materials,Brazil,Americas,3,Conditional,High,-14.235,-51.9253,Net 60,ITEM-57013,Cloud Storage (TB),IT Software,Cloud Storage (TB),TB,131,0.0,5,604.63,AUD,14.5,01/03/2023,26/03/2023,25,No,70,Facilities,CC-009,Isla White,James O'Brien,CON-8833,Framework,28/08/2022,27/08/2023,Pending,Pending,2-Way Match,Yes,No,No,International,52.0
PO-01475,23/01/2024,2024,Q1,January,Standard,Closed,SUP-002,TechPro Components,Germany,Europe,1,Preferred,Low,51.1657,10.4515,Net 45,ITEM-18028,BI Tool License,IT Software,BI Tool License,EA,152,0.0,0,0.0,GBP,14.5,16/02/2024,02/03/2024,15,No,39,Procurement,CC-006,Frank Brown,Sarah Mitchell,CON-1054,Long-term,23/05/2023,06/12/2024,Pending,On Hold,3-Way Match,No,No,Yes,International,41.4
PO-01476,29/03/2024,2024,Q1,March,Standard,Open,SUP-006,Pacific Rim Supplies,Japan,Asia,1,Preferred,Low,36.2048,138.2529,Net 30,ITEM-32712,Branded Merchandise,Marketing,Branded Merchandise,Box,181,13649.39,0,0.0,GBP,29.0,03/04/2024,31/03/2024,-3,Yes,2,IT,CC-002,Bob Smith,Lisa Chen,CON-5214,Spot,28/09/2023,04/01/2025,Pending,Pending,2-Way Match,No,No,Yes,International,77.2
